context,requests,variant,dynamic_relocation_copy_bytes,block_gather_copy_bytes,append_copy_bytes,largest_layer_growth_live_bytes,largest_layer_gather_output_bytes,dynamic_growth_seconds,block_gather_seconds,prefill_budget_bytes,prefill_usable_budget_bytes,prefill_active_sequences,prefill_reserved_tensor_bytes,prefill_committed_capacity_bytes,prefill_assigned_bytes,prefill_used_bytes,prefill_wasted_assigned_bytes,prefill_promised_unassigned_bytes,prefill_uncommitted_usable_bytes,prefill_free_pool_bytes,prefill_unreserved_budget_bytes
2048,4,contiguous,0,0,101007360,0,0,0,0.0,102236160,102236160,4,102236160,102236160,102236160,100663296,1572864,0,0,0,0
2048,4,dynamic,705675264,0,101007360,2103808,0,0.1791402876842767,0.0,102236160,102236160,4,100663296,101007360,100663296,100663296,0,344064,1228800,0,1572864
2048,4,block8,0,806682624,101007360,0,1052160,0,4.279066409682855,102236160,102236160,4,102236160,101056512,100663296,100663296,0,393216,1179648,1572864,0
2048,4,block16,0,806682624,101007360,0,1052160,0,2.3386961666401476,102236160,102236160,4,102236160,101449728,100663296,100663296,0,786432,786432,1572864,0
2048,4,block32,0,806682624,101007360,0,1052160,0,1.2522682908456773,102236160,102236160,4,102236160,102236160,100663296,100663296,0,1572864,0,1572864,0
2048,8,contiguous,0,0,202014720,0,0,0,0.0,204472320,204472320,8,204472320,204472320,204472320,201326592,3145728,0,0,0,0
2048,8,dynamic,1411350528,0,202014720,2103808,0,0.3539502923376858,0.0,204472320,204472320,8,201326592,202014720,201326592,201326592,0,688128,2457600,0,3145728
2048,8,block8,0,1613365248,202014720,0,1052160,0,8.213618021924049,204472320,204472320,8,204472320,202113024,201326592,201326592,0,786432,2359296,3145728,0
2048,8,block16,0,1613365248,202014720,0,1052160,0,4.838290697429329,204472320,204472320,8,204472320,202899456,201326592,201326592,0,1572864,1572864,3145728,0
2048,8,block32,0,1613365248,202014720,0,1052160,0,2.5510753341950476,204472320,204472320,8,204472320,204472320,201326592,201326592,0,3145728,0,3145728,0
