context,requests,variant,aggregate_decode_tokens_per_second_median,aggregate_decode_tokens_per_second_minimum,aggregate_decode_tokens_per_second_maximum,mean_request_ttft_seconds_median,mean_request_ttft_seconds_minimum,mean_request_ttft_seconds_maximum,mean_request_tpot_seconds_median,mean_request_tpot_seconds_minimum,mean_request_tpot_seconds_maximum,generation_seconds_median,generation_seconds_minimum,generation_seconds_maximum
128,1,stock,43.24531696058154,13.961979183450493,46.54317214430513,0.0433897499460727,0.042833416955545545,0.16753312502987683,0.023157125006296804,0.021486672572791576,0.07162476197949477,0.2054416665341705,0.1932455829810351,0.6689064588863403
128,1,contiguous,46.0811832307471,42.58804509270432,48.9108883632806,0.043554812436923385,0.043198582949116826,0.0521397499833256,0.02172387792130134,0.020446493988856673,0.023481970287061164,0.1954706454416737,0.18640533299185336,0.21609012503176928
128,1,dynamic,46.13534549827769,41.0939502977564,48.087147825197356,0.04402685456443578,0.043249000096693635,0.053165874909609556,0.02167741964305086,0.02079644044195967,0.02433586902251201,0.19576879206579179,0.18882408319041133,0.22242487501353025
128,1,block8,33.68597567580939,30.84022537812366,34.78050597316212,0.04747341643087566,0.04645166709087789,0.06051345798186958,0.029691559495404363,0.028752886856506978,0.03242679758529578,0.2559224993456155,0.24772187508642673,0.28420304181054235
128,1,block16,37.02429131057251,18.0460393076065,39.39262200746899,0.045815792051143944,0.04537870897911489,0.05435162503272295,0.027012431495157738,0.025386660725676587,0.0554147439875773,0.2349319369532168,0.22365587507374585,0.43358554202131927
128,1,block32,38.190565236123106,21.589579016548576,43.12272148433,0.05730245844461024,0.04461645777337253,0.06539083295501769,0.026186589301297705,0.023190630998994623,0.04632046426247273,0.23646747891325504,0.20719099999405444,0.3832302079536021
128,2,stock,47.53166558173512,42.306159021642195,49.56598781703256,0.07516946928808466,0.063550875056535,0.07943649997469038,0.0436339479056187,0.041938955280264575,0.04875686307371195,0.3928567291004583,0.3662250409834087,0.4266460840590298
128,2,contiguous,49.98441755409338,46.00688952639959,51.68286153169882,0.07405477098654956,0.06356104160659015,0.08044970815535635,0.04154452382187758,0.040283077429713945,0.04486598806189639,0.372157895937562,0.36534787504933774,0.4008047499228269
128,2,dynamic,48.85275225227541,47.10051468619643,49.191581853880336,0.06961144745582715,0.0633211878594011,0.16014856251422316,0.0426040149011117,0.042179761853601255,0.043930598301813006,0.37946993741206825,0.3681107498705387,0.4683737501036376
128,2,block8,36.09698306214631,31.955578667296606,37.42779689713918,0.0804077920038253,0.06880291702691466,0.08540818793699145,0.05669729910524828,0.05479391070548445,0.06356660715703454,0.4896703335689381,0.4808497920166701,0.5287080421112478
